$,382121552,57552,54377,0.00,0.00,0.00,0.00,
$,382131560,57552,54377,0.00,0.00,0.00,0.00,
$,382141564,57552,54377,0.00,0.00,0.00,0.00,
$,382151568,57552,54377,0.00,0.00,0.00,0.00,
$,382161576,57552,54377,0.00,0.00,0.00,0.00,
$,382171584,57552,54377,0.00,0.00,0.00,0.00,
$,382181592,57552,54377,0.00,0.00,0.00,0.00,
$,382191600,57552,54377,0.00,0.00,0.00,0.00,
$,382201608,57552,54377,0.00,0.00,0.00,0.00,
$,382211616,57552,54377,0.00,0.00,0.00,0.00,
$,382221624,57552,54377,0.00,0.00,0.00,0.00,
$,382231632,57552,54377,0.00,0.00,0.00,0.00,
$,382241640,57552,54377,0.00,0.00,0.00,0.00,
$,382251648,57552,54377,0.00,0.00,0.00,0.00,
$,382261652,57552,54377,0.00,0.00,0.00,0.00,
$,382271660,57552,54377,0.00,0.00,0.00,0.00,
$,382281664,57552,54377,0.00,0.00,0.00,0.00,
$,382291672,57552,54377,0.00,0.00,0.00,0.00,
$,382301680,57552,54377,0.00,0.00,0.00,0.00,
$,382311688,57552,54377,0.00,0.00,0.00,0.00,
$,382321696,57552,54377,0.00,0.00,0.00,0.00,
$,382331704,57552,54377,0.00,0.00,0.00,0.00,
$,382341712,57552,54377,0.00,0.00,0.00,0.00,
$,382351720,57552,54377,0.00,0.00,0.00,0.00,
$,382361728,57552,54377,0.00,0.00,0.00,0.00,
$,382371736,57552,54377,0.00,0.00,0.00,0.00,
$,382381740,57552,54377,0.00,0.00,0.00,0.00,
$,382391748,57552,54377,0.00,0.00,0.00,0.00,
$,382401752,57552,54377,0.00,0.00,0.00,0.00,
$,382411760,57552,54377,0.00,0.00,0.00,0.00,
$,382421768,57552,54377,0.00,0.00,0.00,0.00,
$,382431776,57552,54377,0.00,0.00,0.00,0.00,
$,382441784,57552,54377,0.00,0.00,0.00,0.00,
$,382451792,57552,54377,0.00,0.00,0.00,0.00,
$,382461800,57552,54377,0.00,0.00,0.00,0.00,
$,382471808,57552,54377,0.00,0.00,0.00,0.00,
$,382481816,57552,54377,0.00,0.00,0.00,0.00,
$,382491824,57552,54377,0.00,0.00,0.00,0.00,
$,382501832,57552,54377,0.00,0.00,0.00,0.00,
$,382511836,57552,54377,0.00,0.00,0.00,0.00,
$,382521844,57552,54377,0.00,0.00,0.00,0.00,
$,382531852,57552,54377,0.00,0.00,0.00,0.00,
$,382541860,57552,54377,0.00,0.00,0.00,0.00,
$,382551868,57552,54377,0.00,0.00,0.00,0.00,
$,382561872,57552,54377,0.00,0.00,0.00,0.00,
$,382571880,57552,54377,0.00,0.00,0.00,0.00,
$,382581888,57552,54377,0.00,0.00,0.00,0.00,
$,382591896,57552,54377,0.00,0.00,0.00,0.00,
$,382601904,57552,54377,0.00,0.00,0.00,0.00,
$,382611912,57552,54377,0.00,0.00,0.00,0.00,
$,382621920,57552,54377,0.00,0.00,0.00,0.00,
$,382631924,57552,54377,0.00,0.00,0.00,0.00,
$,382641932,57552,54377,0.00,0.00,0.00,0.00,
$,382651940,57552,54377,0.00,0.00,0.00,0.00,
$,382661944,57552,54377,0.00,0.00,0.00,0.00,
$,382671952,57552,54377,0.00,0.00,0.00,0.00,
$,382681956,57552,54377,0.00,0.00,0.00,0.00,
$,382691964,57552,54377,0.00,0.00,0.00,0.00,
$,382701972,57552,54377,0.00,0.00,0.00,0.00,
$,382711980,57552,54377,0.00,0.00,0.00,0.00,
$,382721984,57552,54377,0.00,0.00,0.00,0.00,
